"Date","Campaign_ID","Campaign_Type","Target_Audience","Duration","Channel_Used","Impressions","Clicks","Leads","Conversions","Revenue","Acquisition_Cost","Customer_Segment","website_visits","Indian_Cities","CTR","Conversion_Rate","Website_Conversion_Rate","ROAS","CPL","CPC","Cost_Per_Conversion","Profit","ROI"
"01-07-2024","NY-CMP-1906","Paid Ads","Tier 2 City Customers","17","YouTube, Instagram","62316","6986","2247","1561","393372.00","54.14","Youth","4118","Pune","11.210604018","22.344689378","37.906750849","7265.829331363132619135","0.024094348","0.007749785","0.034682895","393317.86","726482.933136313261913557"
"01-07-2024","NY-CMP-1995","Influencer","Tier 2 City Customers","12","Google","19354","2690","712","234","149994.00","1192.35","Working Women","6556","Aligarh","13.898935620","8.698884758","3.569249542","125.796955591898351993","1.674648876","0.443252788","5.095512820","148801.65","12479.695559189835199396"
"01-07-2024","NY-CMP-2221","SEO","Tier 2 City Customers","24","Instagram","60401","1284","539","253","199111.00","536.25","Youth","8920","Nellore","2.125792619","19.704049844","2.836322869","371.302564102564102564","0.994897959","0.417640186","2.119565217","198574.75","37030.256410256410256410"
"01-07-2024","NY-CMP-2291","Influencer","Youth","9","Facebook","91976","5914","2353","1388","374760.00","163.12","Youth","10526","Kochi","6.429938244","23.469732837","13.186395591","2297.449730259931338891","0.069324266","0.027582008","0.117521613","374596.88","229644.973025993133889161"
"01-07-2024","NY-CMP-2383","SEO","Youth","21","Email, YouTube, Google","15604","2208","856","521","118267.00","495.62","Tier 2 City Customers","16206","Bangalore","14.150217892","23.596014492","3.214858694","238.624349299866833461","0.578995327","0.224465579","0.951285988","117771.38","23762.434929986683346111"
"01-07-2024","NY-CMP-2705","Influencer","Youth","16","WhatsApp, Email, Google","20568","1336","620","281","122797.00","281.55","Premium Shoppers","7080","Allahabad","6.495527032","21.032934131","3.968926553","436.146332800568282720","0.454112903","0.210741017","1.001957295","122515.45","43514.633280056828272065"
"01-07-2024","NY-CMP-3661","Social Media","Premium Shoppers","21","Email, Facebook","51150","5453","1630","611","261508.00","373.69","Premium Shoppers","140","Gaya","10.660801564","11.204841371","436.428571428","699.799298884101795605","0.229257668","0.068529249","0.611603927","261134.31","69879.929888410179560598"
"01-07-2024","NY-CMP-3673","SEO","Working Women","11","WhatsApp","38180","3788","866","373","277885.00","413.38","Youth","9985","Lucknow","9.921424829","9.846884899","3.735603405","672.226522811940587353","0.477344110","0.109128827","1.108257372","277471.62","67122.652281194058735304"
"01-07-2024","NY-CMP-3823","Paid Ads","Premium Shoppers","18","Instagram, Facebook, YouTube","52312","4137","1316","974","561998.00","275.54","Working Women","18950","Chennai","7.908319314","23.543630650","5.139841688","2039.624011032880888437","0.209376899","0.066603819","0.282895277","561722.46","203862.401103288088843725"
"01-07-2024","NY-CMP-3956","Social Media","Premium Shoppers","6","Instagram, YouTube","65037","3775","1637","854","395402.00","231.13","Working Women","2251","Thane","5.804388271","22.622516556","37.938693913","1710.734218837883442218","0.141191203","0.061226490","0.270644028","395170.87","170973.421883788344221866"
"01-07-2024","NY-CMP-4931","Influencer","Tier 2 City Customers","14","YouTube, Email, WhatsApp","54746","4622","1812","549","430965.00","450.09","Premium Shoppers","5157","Ghaziabad","8.442625945","11.877974902","10.645724258","957.508498300339932013","0.248394039","0.097379922","0.819836065","430514.91","95650.849830033993201359"
"01-07-2024","NY-CMP-5524","Influencer","Working Women","20","YouTube","94133","9499","3226","2159","652018.00","125.15","Youth","13880","Warangal","10.091041398","22.728708285","15.554755043","5209.892129444666400319","0.038794172","0.013175071","0.057966651","651892.85","520889.212944466640031961"
"01-07-2024","NY-CMP-6213","Email","College Students","15","Google, WhatsApp","96926","12464","4323","1846","679328.00","33.32","College Students","13953","Howrah","12.859294719","14.810654685","13.230129721","20387.99519807923169267","0.007707610","0.002673299","0.018049837","679294.68","2038699.519807923169267707"
